"108;""METHOCARBAMOL 100 ml."";"""";1;""1005"";"""";"""";""""",
"109;""INSOL DERMATOPHYTON 2ML."";"""";1;""1006"";"""";"""";""""",
"110;""OSTENIL PLUS 40 MG/2ML"";"""";1;""1007"";"""";"""";""""",
"111;""Fucidin H 30g"";"""";1;""1009"";"""";"""";""""",
"112;""EKYFLOGYL 125ml AUDEVARD."";"""";1;""1010"";"""";"""";""""",
"113;""RINGER LACTATE 1LTR"";"""";1;""1011"";"""";"""";""""",
"114;""BCAA POWDER 500gm."";"""";1;""1012"";"""";"""";""""",
"115;""MAXITROL"";"""";1;""1017"";"""";"""";""""",
"116;""IMAVEROL- 100ml CUTANAEOUS EMULSION ELANCEO."";"""";1;""1019"";"""";"""";""""",
"117;""SUDOCREAM 250g."";"""";1;""1021"";"""";"""";""""",
"118;""OVULTONIC"";"""";1;""1025"";"""";"""";""""",
"119;""ALGUADIGEST"";"""";1;""1026"";"""";"""";""""",
"120;""PASKATONIC 912 PASTE"";"""";1;""1027"";"""";"""";""""",
"121;""METRATONIC"";"""";1;""1028"";"""";"""";""""",
"122;""Fluvac Innovator EHV4/11"";"""";1;""1032"";"""";"""";""""",
"123;""Duvaxyn - EHv1.4"";"""";1;""1033"";"""";"""";""""",
"124;""Duvaxyn - EHv1.4"";"""";1;""1033"";"""";"""";""""",
"125;""Diurizone Inj 50ml"";"""";1;""1035"";"""";"""";""""",
"126;""Equip - FT"";"""";1;""1036"";"""";"""";""""",
"127;""Rifampicin"";"""";1;""1037"";"""";"""";""""",
"128;""RESOLVE PLUS 1.0"";"""";1;""1038"";"""";"""";""""",
"129;""STRONGID PASTE 23.6g"";"""";1;""1039"";"""";"""";""""",
"130;""Excenel-4g - Ceftiofur-Zoetis"";"""";1;""1043"";"""";"""";""""",
"131;""OB LUBE LUBRICATING STERILE 605032"";"""";1;""1045"";"""";"""";""""",
"132;""SUCCEED PASTE."";"""";1;""1048"";"""";"""";""""",
"133;""PHENYLBUTAZON 20% 100ml INJ"";"""";1;""1049"";"""";"""";""""",
"134;""WOUND PLAST SPRAY 200ml 161010"";"""";1;""1050"";"""";"""";""""",
"135;""OSPHOS 51mg/15.ML"";"""";1;""1054"";"""";"""";""""",
"136;""DOMIDINE 10 MG"";"""";1;""1055"";"""";"""";""""",
"137;""EQUIPLAZONE 50Ml DECHRA"";"""";1;""1056"";"""";"""";""""",
"138;""LUROCAINE 100ML"";"""";1;""1057"";"""";"""";""""",
"139;""MEPIVACAINE 100ml"";"""";1;""1060"";"""";"""";""""",
"140;""PREQUENZA TE (EQUILIS)"";"""";1;""1062"";"""";"""";""""",
"141;""NEIGH LOX ADVANCED 8lb"";"""";1;""1064"";"""";"""";""""",
"142;""NEIGH LOX ADVANCED 20lb"";"""";1;""1065"";"""";"""";""""",
"143;""EQUO CALMIN"";"""";1;""1068"";"""";"""";""""",
